rxn_id	rxn_name	subsystem	selected_subs	KEGG_id	EC	rule	genes_hsa_ncbi	genes_hsa_symbol	genes_mmu_symbol	genes_mmu_synonym
3HKYNAKGAT	3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase	Tryptophan metabolism	1	NA	2.6.1.7	(x(54)) | (x(55)) | (x(56))	51166, 883, 51166	AADAT, CCBL1, AADAT	AADAT, CCBL1, AADAT	KATII, Kat2, mKat-2, KATI, Kat1, cytoplasmic (glutamine transaminase K, kyneurenine aminotransferase), 2010009K05Rik, KATII, Kat2, mKat-2
3HLYTCL	3-Hydroxy-L-tyrosine carboxy-lyase	Tyrosine metabolism	1	NA	4.1.1.28	(x(57))	1644	DDC	DDC	Aadc, aromatic L-amino acid decarboxylase
3HPCOAHYD	3-hydroxyisobutyryl-Coenzyme A hydrolase	beta-Alanine metabolism	0	NA	3.1.2.4	(x(58)) | (x(59))	26275, 26275	HIBCH, HIBCH	HIBCH, HIBCH	HIBYL-COA-H, 2610509I15Rik, HIBYL-COA-H, 2610509I15Rik
3HXKYNDCL	3-Hydroxykynurenamine decarboxy-lyase	Tryptophan metabolism	1	NA	NA	(x(57))	1644	DDC	DDC	Aadc, aromatic L-amino acid decarboxylase
3HXKYNOXDA	3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)	Tryptophan metabolism	1	NA	1.4.3.4	(x(60)) | (x(61))	4128, 4129	MAOA, MAOB	MAOA, MAOB	MAO-A, 1110061B18Rik, MAO-B, 6330414K01Rik
3M4HDXPAC	3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase	Tyrosine metabolism	1	NA	1.2.1.5	(x(44)) | (x(47)) | (x(45)) | (x(46))	218, 221, 222, 220	NA	NA	NA
3MOX4HOXPGALDOX	3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase	Tyrosine metabolism	1	NA	1.2.1.5	(x(45)) | (x(46)) | (x(47)) | (x(44))	222, 220, 221, 218	NA	NA	NA
3MOX4HOXPGALDOX_NADP_	3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase	Tyrosine metabolism	1	NA	1.2.1.5	(x(45)) | (x(46)) | (x(47)) | (x(44))	222, 220, 221, 218	NA	NA	NA
3MOXTYROX	3-Methoxytyramine:oxygen oxidoreductase (deaminating)	Tyrosine metabolism	1	NA	1.4.3.4	(x(60)) | (x(61))	4128, 4129	MAOA, MAOB	MAOA, MAOB	MAO-A, 1110061B18Rik, MAO-B, 6330414K01Rik
3NTD7l	3'-nucleotidase (AMP), lysosome	Purine catabolism	0	NA	3.1.3.2	(x(62)) | (x(63)) | (x(64)) | (x(65))	53, 55, 51205, 54	NA	NA	NA
3SALAASPm	cysteinesulfinate-aspartate mitochondrial shuttle	Transport, mitochondrial	0	NA	NA	(x(66)) | (x(67))	10165, 8604	SLC25A13, SLC25A12	SLC25A13, SLC25A12	Ctrn, citrin, B230107K20Rik
3SALACBOXL	3-Sulfino-L-alanine carboxy-lyase	Taurine and hypotaurine metabolism	0	NA	4.1.1.15	(x(68)) | (x(69)) | (x(70)) | (x(71))	51380, 2571, 2572, 2571	CSAD, GAD1, GAD2, GAD1	CSAD, GAD1, GAD2, GAD1	NA
3SALATAi	3-sulfino-alanine transaminase (irreversible)	Methionine and cysteine metabolism	1	NA	2.6.1.1	(x(72))	2805	GOT1	GOT1	Got-1, cAspAT, cytosolic aspartate aminotransferase
3SALATAim	3-sulfino-alanine transaminase (irreversible), mitochondrial	Methionine and cysteine metabolism	1	NA	2.6.1.1	(x(73))	2806	GOT2	GOT2	Got-2, mAspAT, mitochondrial aspartate aminotransferase, FABP-pm, plasma membrane fatty acid binding protein
41R1H2MAE12BOOX	4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	Tyrosine metabolism	1	NA	1.4.3.4	(x(60)) | (x(61))	4128, 4129	MAOA, MAOB	MAOA, MAOB	MAO-A, 1110061B18Rik, MAO-B, 6330414K01Rik
41R2A1H12BOOX	4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	Tyrosine metabolism	1	NA	1.4.3.4	(x(60)) | (x(61))	4128, 4129	MAOA, MAOB	MAOA, MAOB	MAO-A, 1110061B18Rik, MAO-B, 6330414K01Rik
42A12BOOX	4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	Tyrosine metabolism	1	NA	1.4.3.6	(x(61)) | (x(1)) | (x(2)) | (x(3)) | (x(4)) | (x(60))	4129, 8639, 26, 314, 314, 4128	MAOB, AOC3, AOC1, AOC2, AOC2, MAOA	MAOB, AOC3, AOC1, AOC2, AOC2, MAOA	NA
4HGLSDm	L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial	Arginine and Proline Metabolism	1	NA	1.5.1.12	(x(74)) | (x(75))	8659, 8659	ALDH4A1, ALDH4A1	ALDH4A1, ALDH4A1	P5CDH, Ahd1, ALDH4, A930035F14Rik, Ssdh1, Ahd-1, P5CDH, Ahd1, ALDH4, A930035F14Rik, Ssdh1, Ahd-1
4HOXPACDOX_NADP_	4-Hydroxyphenylacetaldehyde:NADP+ oxidoreductase	Tyrosine metabolism	1	NA	1.2.1.5	(x(45)) | (x(46)) | (x(47)) | (x(44))	222, 220, 221, 218	NA	NA	NA
4NPHSULT	4-Nitrophenol Sulfotransferase	Cytochrome metabolism	1	NA	2.8.2.1	(x(76)) | (x(77)) | (x(78)) | (x(79)) | (x(80)) | (x(11)) | (x(81)) | (x(82)) | (x(83)) | (x(84))	6799, 6817, 6799, 6818, 6817, 6818, 6817, 6817, 6818, 6817	NA	NA	NA
5ADTSTSTERONEGLCte	glucuronidated compound transport	Transport, extracellular	0	NA	NA	(x(85))	4363	ABCC1	ABCC1	Abcc1b, Abcc1a, Mrp1, Mdrap, MRP
5ADTSTSTERONESULT	5alpha-Dihydrotestosterone sulfotransferase	Steroid metabolism	0	NA	2.8.2.2	(x(86)) | (x(11))	6822, 6818	NA	NA	NA
5FTHFt2	5-formyltetrahydrofolate transport via anion exchange	Transport, extracellular	0	NA	NA	(x(87)) | (x(88))	6573, 6573	SLC19A1, SLC19A1	SLC19A1, SLC19A1	reduced folate carrier, RFC1, RFC-1, reduced folate carrier, RFC1, RFC-1
5HLTDL	5-Hydroxy-L-tryptophan decarboxy-lyase	Tryptophan metabolism	1	NA	4.1.1.28	(x(57))	1644	DDC	DDC	Aadc, aromatic L-amino acid decarboxylase
5HOXINDACTO2OX	5-Hydroxyindoleacetaldehyde:oxygen oxidoreductase	Tryptophan metabolism	1	NA	1.2.3.1	(x(89))	316	AOX1	AOX1	Aox2, Aox-2, Aox-1, retinal oxidase
5HOXINDACTOXm	5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase (mito)	Tryptophan metabolism	1	NA	1.5.1.12	(x(75)) | (x(90)) | (x(74)) | (x(91))	8659, 219, 8659, 217	ALDH4A1, ALDH1B1, ALDH4A1, ALDH2	ALDH4A1, ALDH1B1, ALDH4A1, ALDH2	P5CDH, Ahd1, ALDH4, A930035F14Rik, Ssdh1, Ahd-1, 2700007F14Rik, P5CDH, Ahd1, ALDH4, A930035F14Rik, Ssdh1, Ahd-1, Ahd-5, Ahd5
5HOXINOXDA	5-Hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing)	Tryptophan metabolism	1	NA	1.4.3.4	(x(60)) | (x(61))	4128, 4129	MAOA, MAOB	MAOA, MAOB	MAO-A, 1110061B18Rik, MAO-B, 6330414K01Rik
5HTRPDOX	5-Hydroxy-L-tryptophan:oxygen 2,3-dioxygenase (indole-decyclizing)	Tryptophan metabolism	1	NA	1.13.11.52	(x(92))	3620	IDO1	IDO1	Indo, Ido
5HTRPVESSEC	5-hydroxy-L-tryptophan secretion via secretory vesicle (ATP driven)	Transport, extracellular	0	NA	NA	(x(93)) | (x(94))	6570, 6571	SLC18A1, SLC18A2	SLC18A1, SLC18A2	4832416I10Rik, 1110037L13Rik, Vmat2
5HXKYNDCL	5-Hydroxykynurenamine decarboxy-lyase	Tryptophan metabolism	1	NA	4.1.1.28	(x(57))	1644	DDC	DDC	Aadc, aromatic L-amino acid decarboxylase
5HXKYNOXDA	5-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)	Tryptophan metabolism	1	NA	1.4.3.4	(x(60)) | (x(61))	4128, 4129	MAOA, MAOB	MAOA, MAOB	MAO-A, 1110061B18Rik, MAO-B, 6330414K01Rik
5MTHFt	5-Methyltetrahydrofolate transport via receptor binding and protolysis	Transport, extracellular	0	NA	NA	(x(95)) | (x(96)) | (x(97)) | (x(98)) | (x(99)) | (x(100)) | (x(101))	2348, 2348, 2348, 2348, 2352, 2348, 2348	NA	NA	NA
5MTHFt2	5-methyltetrahydrofolate transport via anion exchange	Transport, extracellular	0	NA	NA	(x(87)) | (x(88))	6573, 6573	SLC19A1, SLC19A1	SLC19A1, SLC19A1	reduced folate carrier, RFC1, RFC-1, reduced folate carrier, RFC1, RFC-1
A_MANASE	alpha-mannosidase	N-glycan degradation	1	NA	3.2.1.24	(x(102))	4123	MAN2C1	MAN2C1	1110025H24Rik
A_MANASEly	alpha-mannosidase, lysosomal	N-glycan degradation	1	NA	3.2.1.24	(x(103))	4125	MAN2B1	MAN2B1	lysosomal alpha-mannosidase
A4GALTc	Lactosylceramide 4-alpha-galactosyltransferase	Sphingolipid metabolism	1	NA	2.4.1.228	(x(104))	53947	A4GALT	A4GALT	Gb3 synthase
A4GALTg	Lactosylceramide 4-alpha-galactosyltransferase	Sphingolipid metabolism	1	NA	2.4.1.228	(x(104))	53947	A4GALT	A4GALT	Gb3 synthase
A4GNT1g	alpha 1,4-N-acetylglucosaminyltransferase, Golgi apparatus	O-glycan synthesis	0	NA	NA	(x(105))	51146	A4GNT	A4GNT	alpha4GnT, LOC333424
A4GNT2g	alpha 1,4-N-acetylglucosaminyltransferase, Golgi apparatus	O-glycan synthesis	0	NA	NA	(x(105))	51146	A4GNT	A4GNT	alpha4GnT, LOC333424
AACOAT	Acetoacetyl-CoA:acetate CoA-transferase	Propanoate metabolism	1	NA	6.2.1.16	x(106)	65985	AACS	AACS	2210408B16Rik
AACTOOR	Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)	Glycine, serine, alanine and threonine metabolism	1	NA	1.4.3.6	(x(1))	8639	AOC3	AOC3	SSAO, semicarbazide-sensitive amine oxidase, VAP1
AATAi	2-aminoadipate transaminase, irreversible	Lysine metabolism	1	NA	2.6.1.39	(x(54)) | (x(56))	51166, 51166	AADAT, AADAT	AADAT, AADAT	KATII, Kat2, mKat-2, KATII, Kat2, mKat-2
ABO1g	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	Blood group synthesis	0	NA	NA	(x(107))	28	ABO	ABO	cis-AB transferase
ABO2g	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	Blood group synthesis	0	NA	NA	(x(107))	28	ABO	ABO	cis-AB transferase
ABO3g	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	Blood group synthesis	0	NA	NA	(x(107))	28	ABO	ABO	cis-AB transferase
ABO4g	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	Blood group synthesis	0	NA	NA	(x(107))	28	ABO	ABO	cis-AB transferase
ABO5g	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	Blood group synthesis	0	NA	NA	(x(107))	28	ABO	ABO	cis-AB transferase
ABO6g	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	Blood group synthesis	0	NA	NA	(x(107))	28	ABO	ABO	cis-AB transferase
ABO7g	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	Blood group synthesis	0	NA	NA	(x(107))	28	ABO	ABO	cis-AB transferase
ABO8g	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	Blood group synthesis	0	NA	NA	(x(107))	28	ABO	ABO	cis-AB transferase
ABO9g	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	Blood group synthesis	0	NA	NA	(x(107))	28	ABO	ABO	cis-AB transferase
ABTArm	4-aminobutyrate transaminase, reversible (mitochondrial)	Glutamate metabolism	1	NA	2.6.19.4	(x(49)) | (x(50))	18, 18	ABAT, ABAT	ABAT, ABAT	GABA-T, 9630038C02Rik, GABA-T, 9630038C02Rik
ABUTD	Aminobutyraldehyde dehydrogenase	beta-Alanine metabolism	0	NA	1.2.1.19	(x(108))	223	ALDH9A1	ALDH9A1	ESTM40, TMABA-DH
ABUTt2r	4-aminobutyrate reversible transport in via proton symport	Transport, extracellular	0	NA	NA	(x(109))	206358	SLC36A1	SLC36A1	5830411H19Rik, Pat1
ABUTt2rL	4-aminobutyrate reversible transport in via proton symport (lysosome)	Transport, lysosomal	0	NA	NA	(x(109))	206358	SLC36A1	SLC36A1	5830411H19Rik, Pat1
ABUTt4_2_r	4-aminobutyrate reversible transport in via sodium symport (1:2)	Transport, extracellular	0	NA	NA	(x(110)) | (x(111)) | (x(112)) | (x(113))	6529, 6538, 6540, 6539	SLC6A1, SLC6A11, SLC6A13, SLC6A12	SLC6A1, SLC6A11, SLC6A13, SLC6A12	GAT-1, Gabt1, Gat1, Xtrp1, Gabt, XT-1, Gat3, Gabt4, E130202I16Rik, D930045G19Rik, GAT4, Gat2, Gabt3, BGT1, Gabt2
ACACT10m	acetyl-CoA C-acetyltransferase, mitochondrial	Valine, leucine, and isoleucine metabolism	1	NA	2.3.1.9	(x(114)) | (x(115)) | (x(116))	38, 3032, 10449	NA	NA	NA
ACACT1r	acetyl-CoA C-acetyltransferase	Tryptophan metabolism	1	NA	2.3.1.9	x(117)	39	ACAT2	ACAT2	ACAT3, ACTL, Tcp1-rs1, Tcp-1x
ACACT1rm	acetyl-CoA C-acetyltransferase, mitochondrial	Tryptophan metabolism	1	NA	2.3.1.9	(x(118)) & (x(115)) | (x(114))	3030, 3032, 38	HADHA, HADHB, ACAT1	HADHA, HADHB, ACAT1	Mtpa, Mtpb, 4930479F15Rik, 6330585C21Rik, Acat
ACACT1x	acetyl-CoA C-acetyltransferase, mitochondrial	Cholesterol metabolism	1	NA	2.3.1.9	x(117)	39	ACAT2	ACAT2	ACAT3, ACTL, Tcp1-rs1, Tcp-1x
ACACt2	acetoacetate transport via proton symport	Transport, extracellular	0	NA	NA	(x(22)) | (x(21))	6566, 9194	SLC16A1, SLC16A7	SLC16A1, SLC16A7	MCT1, 4921534N07Rik, MCT2
ACACt2m	Acetoacetate mitochondrial transport via H+ symport	Transport, mitochondrial	0	NA	NA	(x(22))	6566	SLC16A1	SLC16A1	MCT1
ACACT4p	acetyl-CoA C-acetyltransferase (octanoyl-CoA), peroxisomal	Fatty acid oxidation	1	NA	2.3.1.16	x(119)	30	ACAA1	ACAA1A	thiolase A, Acaa1, D9Ertd25e, peroxisomal 3-ketoacyl-CoA thiolase, PTL
ACACT5p	acetyl-CoA C-acyltransferase (decanoyl-CoA), peroxisomal	Fatty acid oxidation	1	NA	2.3.1.16	x(119)	30	ACAA1	ACAA1A	thiolase A, Acaa1, D9Ertd25e, peroxisomal 3-ketoacyl-CoA thiolase, PTL
ACACT6p	acetyl-CoA C-acetyltransferase (dodecanoyl), peroxisomal	Fatty acid oxidation	1	NA	2.3.1.16	x(119)	30	ACAA1	ACAA1A	thiolase A, Acaa1, D9Ertd25e, peroxisomal 3-ketoacyl-CoA thiolase, PTL
ACACT7p	acetyl-CoA acyltransferase (tetradecanoyl-CoA), peroxisomal	Fatty acid oxidation	1	NA	2.3.1.16	x(119)	30	ACAA1	ACAA1A	thiolase A, Acaa1, D9Ertd25e, peroxisomal 3-ketoacyl-CoA thiolase, PTL
ACACT8p	acetyl-CoA acyltransferase (hexadecanoyl-CoA), peroxisomal	Fatty acid oxidation	1	NA	2.3.1.16	(x(119))	30	ACAA1	ACAA1A	thiolase A, Acaa1, D9Ertd25e, peroxisomal 3-ketoacyl-CoA thiolase, PTL
ACACT9p	acetyl-CoA acyltransferase (tetracosanoyl-CoA), peroxisomal	Fatty acid oxidation	1	NA	2.3.1.16	(x(119))	30	ACAA1	ACAA1A	thiolase A, Acaa1, D9Ertd25e, peroxisomal 3-ketoacyl-CoA thiolase, PTL
ACCOAC	acetyl-CoA carboxylase	Fatty acid oxidation	1	NA	NA	(x(120)) | (x(121)) | (x(122) & x(123)) | (x(121) & x(123)) | (x(122)) | (x(123) & x(124)) | (x(125) & x(123)) | (x(125)) | (x(120) & x(123)) | (x(124))	31, 31, 31, 32, 31, 32, 31, 32, 31, 31, 32, 31, 31, 32, 31	ACACA, ACACA, ACACA, ACACB, ACACA, ACACB, ACACA, ACACB, ACACA, ACACA, ACACB, ACACA, ACACA, ACACB, ACACA	ACACA, ACACA, ACACA, ACACB, ACACA, ACACB, ACACA, ACACB, ACACA, ACACA, ACACB, ACACA, ACACA, ACACB, ACACA	A530025K05Rik, Acac, LOC327983, Acc1, acetyl-CoA carboxylase, A530025K05Rik, Acac, LOC327983, Acc1, acetyl-CoA carboxylase, A530025K05Rik, Acac, LOC327983, Acc1, acetyl-CoA carboxylase, Accb, Acc2, A530025K05Rik, Acac, LOC327983, Acc1, acetyl-CoA carboxylase, Accb, Acc2, A530025K05Rik, Acac, LOC327983, Acc1, acetyl-CoA carboxylase, Accb, Acc2, A530025K05Rik, Acac, LOC327983, Acc1, acetyl-CoA carboxylase, A530025K05Rik, Acac, LOC327983, Acc1, acetyl-CoA carboxylase, Accb, Acc2, A530025K05Rik, Acac, LOC327983, Acc1, acetyl-CoA carboxylase, A530025K05Rik, Acac, LOC327983, Acc1, acetyl-CoA carboxylase, Accb, Acc2, A530025K05Rik, Acac, LOC327983, Acc1, acetyl-CoA carboxylase
ACCOACm	Acetyl-Coa carboxylase, beta isoform	Fatty acid oxidation	1	NA	6.4.1.2	x(123)	32	ACACB	ACACB	Accb, Acc2
ACCOAgt	acetyl-coa transport	Transport, extracellular	0	NA	NA	(x(126))	9197	SLC33A1	SLC33A1	D630022N01Rik, Acatn
ACCOAL	acetate-CoA ligase (ADP-forming)	Propanoate metabolism	1	NA	6.2.1.13	(x(127)) | (x(128))	55902, 55902	ACSS2, ACSS2	ACSS2, ACSS2	Acas2, Acs1, Acas1, ACAS, AceCS1, acetyl-CoA synthetase 1, Acas2, Acs1, Acas1, ACAS, AceCS1, acetyl-CoA synthetase 1
ACCOALm	acetate-CoA ligase (AMP-forming)	Propanoate metabolism	1	NA	6.2.1.17	(x(129)) | (x(130))	84532, 79611	NA	NA	NA
ACCOAtr	acetyl-coa transport	Transport, endoplasmic reticular	0	NA	NA	(x(126))	9197	SLC33A1	SLC33A1	D630022N01Rik, Acatn
ACETONEt2	acetone transport via proton symport	Transport, extracellular	0	NA	NA	(x(22)) | (x(20)) | (x(21))	6566, 9123, 9194	SLC16A1, SLC16A3, SLC16A7	SLC16A1, SLC16A3, SLC16A7	MCT1, MCT3, monocarboxylate transporter 4, MCT4, 4921534N07Rik, MCT2
ACETONEt2m	acetone mitochondrial transport via proton symport	Transport, mitochondrial	0	NA	NA	(x(22))	6566	SLC16A1	SLC16A1	MCT1
ACGAM2E	N-acetylglucosamine 2-epimerase	Aminosugar metabolism	1	NA	5.1.3.8	x(131)	5973	RENBP	RENBP	NA
ACGAM6PSi	N-acetylglucosamine-6-phosphate synthase	Aminosugar metabolism	1	NA	2.3.1.4	x(132)	64841	GNPNAT1	GNPNAT1	EMeg32
